Year,State,District,Area_1000_ha,Production_1000_tons,Yield_kg_ha,Crop,Avg_Rainfall_mm,Avg_Temp_C,Soil_Type
2016,Punjab,Patiala,313.72,1351.85,4309.1,RICE,650,24.5,Loamy
2017,Punjab,Patiala,314.72,1359.15,4318.6,RICE,650,24.5,Loamy
2010,Haryana,Hissar,208.82,687.24,3291.02,RICE,800,26.0,Loamy
2011,Haryana,Hissar,205.52,671.66,3268.02,RICE,800,26.0,Loamy
2012,Haryana,Hissar,207.57,730.4,3518.88,RICE,800,26.0,Loamy
2013,Haryana,Hissar,217.36,773.85,3560.22,RICE,800,26.0,Loamy
2014,Haryana,Hissar,243.91,822.3,3371.33,RICE,800,26.0,Loamy
2015,Haryana,Hissar,282.25,930.63,3297.18,RICE,800,26.0,Loamy
2016,Haryana,Hissar,289.75,1031.73,3560.75,RICE,800,26.0,Loamy
2017,Haryana,Hissar,305.38,1077.83,3529.46,RICE,800,26.0,Loamy
2010,Haryana,Gurgaon,54.0,140.0,2592.59,RICE,800,26.0,Loamy
2011,Haryana,Gurgaon,54.8,149.0,2718.98,RICE,800,26.0,Loamy
2012,Haryana,Gurgaon,49.23,134.0,2721.92,RICE,800,26.0,Loamy
2013,Haryana,Gurgaon,55.0,149.0,2709.09,RICE,800,26.0,Loamy
2014,Haryana,Gurgaon,57.0,159.0,2789.47,RICE,800,26.0,Loamy
2015,Haryana,Gurgaon,59.0,138.0,2338.98,RICE,800,26.0,Loamy
2016,Haryana,Gurgaon,62.1,166.0,2673.11,RICE,800,26.0,Loamy
2017,Haryana,Gurgaon,64.2,174.0,2710.28,RICE,800,26.0,Loamy
2010,Haryana,Jind,142.47,362.48,2544.33,RICE,800,26.0,Loamy
2011,Haryana,Jind,143.4,379.98,2649.75,RICE,800,26.0,Loamy
2012,Haryana,Jind,143.25,410.16,2863.19,RICE,800,26.0,Loamy
2013,Haryana,Jind,148.44,417.6,2813.26,RICE,800,26.0,Loamy
2014,Haryana,Jind,151.98,423.6,2787.21,RICE,800,26.0,Loamy
2015,Haryana,Jind,158.14,401.2,2536.96,RICE,800,26.0,Loamy
2016,Haryana,Jind,164.16,448.36,2731.24,RICE,800,26.0,Loamy
2017,Haryana,Jind,165.65,491.38,2966.34,RICE,800,26.0,Loamy
2010,Haryana,Mahendragarh / Narnaul,8.53,19.72,2312.93,RICE,800,26.0,Loamy
2011,Haryana,Mahendragarh / Narnaul,7.95,21.17,2664.23,RICE,800,26.0,Loamy
2012,Haryana,Mahendragarh / Narnaul,6.09,17.69,2903.38,RICE,800,26.0,Loamy
2013,Haryana,Mahendragarh / Narnaul,6.38,16.24,2545.45,RICE,800,26.0,Loamy
2014,Haryana,Mahendragarh / Narnaul,7.83,13.92,1777.78,RICE,800,26.0,Loamy
2015,Haryana,Mahendragarh / Narnaul,8.99,20.59,2290.32,RICE,800,26.0,Loamy
2016,Haryana,Mahendragarh / Narnaul,10.24,21.75,2124.65,RICE,800,26.0,Loamy
2017,Haryana,Mahendragarh / Narnaul,10.59,25.52,2410.96,RICE,800,26.0,Loamy
2010,Haryana,Ambala,165.6,556.0,3357.49,RICE,800,26.0,Loamy
2011,Haryana,Ambala,164.5,615.0,3738.6,RICE,800,26.0,Loamy
2012,Haryana,Ambala,162.13,645.0,3978.29,RICE,800,26.0,Loamy
2013,Haryana,Ambala,158.0,600.0,3797.47,RICE,800,26.0,Loamy
2014,Haryana,Ambala,163.0,596.0,3656.44,RICE,800,26.0,Loamy
2015,Haryana,Ambala,167.8,638.0,3802.15,RICE,800,26.0,Loamy
2016,Haryana,Ambala,167.3,645.0,3855.35,RICE,800,26.0,Loamy
2017,Haryana,Ambala,170.6,681.0,3991.79,RICE,800,26.0,Loamy
2010,Haryana,Karnal,499.53,1375.52,2753.61,RICE,800,26.0,Loamy
2011,Haryana,Karnal,492.5,1539.02,3124.93,RICE,800,26.0,Loamy
2012,Haryana,Karnal,489.8,1678.84,3427.62,RICE,800,26.0,Loamy
2013,Haryana,Karnal,484.56,1677.4,3461.7,RICE,800,26.0,Loamy
2014,Haryana,Karnal,489.02,1575.4,3221.55,RICE,800,26.0,Loamy
2015,Haryana,Karnal,488.46,1543.8,3160.56,RICE,800,26.0,Loamy
2016,Haryana,Karnal,498.94,1700.64,3408.51,RICE,800,26.0,Loamy
2017,Haryana,Karnal,508.45,1927.62,3791.18,RICE,800,26.0,Loamy
2010,Haryana,Rohtak,164.35,324.04,1971.63,RICE,800,26.0,Loamy
2011,Haryana,Rohtak,165.43,381.17,2304.13,RICE,800,26.0,Loamy
2012,Haryana,Rohtak,148.18,324.91,2192.65,RICE,800,26.0,Loamy
2013,Haryana,Rohtak,174.26,406.91,2335.07,RICE,800,26.0,Loamy
2014,Haryana,Rohtak,164.26,398.78,2427.74,RICE,800,26.0,Loamy
2015,Haryana,Rohtak,188.46,471.78,2503.34,RICE,800,26.0,Loamy
2016,Haryana,Rohtak,192.71,439.52,2280.71,RICE,800,26.0,Loamy
2017,Haryana,Rohtak,197.13,502.65,2549.79,RICE,800,26.0,Loamy
2010,Uttar Pradesh,Saharanpur,73.61,150.25,2041.16,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Saharanpur,73.32,162.98,2222.86,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Saharanpur,67.62,172.1,2545.1,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Saharanpur,69.58,164.6,2365.62,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Saharanpur,75.58,184.64,2442.97,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Saharanpur,86.82,196.19,2259.73,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Saharanpur,72.43,172.65,2383.63,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Saharanpur,70.55,185.44,2628.49,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Muzaffarnagar,36.0,80.52,2236.67,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Muzaffarnagar,35.44,83.2,2347.63,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Muzaffarnagar,35.44,90.35,2549.38,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Muzaffarnagar,30.84,78.09,2532.1,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Muzaffarnagar,33.7,86.62,2570.33,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Muzaffarnagar,34.15,86.71,2539.09,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Muzaffarnagar,32.18,83.84,2605.58,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Muzaffarnagar,32.93,93.32,2833.89,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Meerut,65.39,150.13,2295.87,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Meerut,65.75,167.52,2547.97,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Meerut,49.51,144.26,2913.95,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Meerut,56.25,155.75,2769.01,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Meerut,60.99,173.28,2841.15,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Meerut,68.4,188.14,2750.77,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Meerut,55.67,142.49,2559.65,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Meerut,52.41,145.29,2772.12,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Buland Shahar,86.59,196.54,2269.81,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Buland Shahar,99.69,239.59,2403.27,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Buland Shahar,21.19,58.04,2738.59,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Buland Shahar,105.21,277.84,2640.75,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Buland Shahar,119.04,308.09,2588.11,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Buland Shahar,116.05,311.97,2688.13,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Buland Shahar,93.81,236.88,2525.21,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Buland Shahar,102.1,304.58,2983.12,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Aligarh,81.9,162.33,1982.05,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Aligarh,106.14,229.88,2165.82,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Aligarh,39.59,96.75,2443.8,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Aligarh,110.75,250.83,2264.83,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Aligarh,119.89,258.96,2159.98,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Aligarh,113.81,257.09,2258.94,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Aligarh,101.27,248.94,2458.22,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Aligarh,107.56,278.09,2585.37,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Mathura,42.27,90.07,2130.83,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Mathura,48.02,108.63,2262.18,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Mathura,19.3,54.73,2835.75,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Mathura,52.65,126.58,2404.18,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Mathura,49.4,114.76,2323.08,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Mathura,48.72,108.36,2224.14,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Mathura,47.92,110.88,2313.99,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Mathura,46.13,83.54,1811.0,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Agra,11.41,28.01,2453.39,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Agra,12.25,33.03,2695.22,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Agra,10.15,27.68,2726.38,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Agra,16.03,42.66,2660.53,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Agra,18.09,43.48,2403.74,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Agra,17.4,41.72,2397.9,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Agra,13.08,34.16,2611.16,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Agra,12.91,34.08,2638.98,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Mainpuri,77.41,189.67,2450.29,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Mainpuri,76.91,198.63,2582.8,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Mainpuri,72.72,194.12,2669.52,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Mainpuri,79.43,211.23,2659.47,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Mainpuri,88.63,228.38,2576.74,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Mainpuri,88.43,229.4,2594.1,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Mainpuri,78.27,197.92,2528.67,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Mainpuri,76.61,226.59,2957.82,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Etah,35.85,76.18,2124.97,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Etah,34.46,87.99,2553.4,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Etah,20.83,56.04,2690.35,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Etah,36.32,82.98,2284.69,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Etah,37.39,86.02,2300.62,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Etah,47.21,79.57,1685.45,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Etah,32.5,76.61,2356.95,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Etah,28.79,71.3,2476.44,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Bareilly,165.69,273.45,1650.37,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Bareilly,162.32,407.37,2509.67,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Bareilly,83.83,191.38,2282.95,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Bareilly,162.92,366.56,2249.94,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Bareilly,163.95,337.57,2058.98,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Bareilly,158.63,327.41,2063.99,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Bareilly,160.28,358.38,2236.0,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Bareilly,145.23,357.42,2460.99,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Budaun,76.87,144.91,1885.13,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Budaun,94.4,203.28,2153.34,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Budaun,63.44,119.9,1889.91,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Budaun,95.23,211.3,2218.83,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Budaun,94.6,196.03,2072.08,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Budaun,79.57,152.86,1920.98,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Budaun,84.13,179.89,2138.13,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Budaun,88.35,188.48,2133.41,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Moradabad,158.55,288.11,1817.16,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Moradabad,141.48,293.56,2074.95,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Moradabad,135.89,311.32,2291.01,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Moradabad,148.26,324.39,2187.98,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Moradabad,133.38,316.45,2372.63,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Moradabad,139.57,323.42,2317.32,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Moradabad,143.02,320.77,2242.87,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Moradabad,140.63,327.24,2326.88,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Shahjahanpur,201.47,430.75,2138.04,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Shahjahanpur,213.18,555.12,2604.0,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Shahjahanpur,161.54,447.63,2771.02,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Shahjahanpur,198.11,531.71,2683.91,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Shahjahanpur,209.33,587.16,2804.95,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Shahjahanpur,155.99,491.22,3149.05,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Shahjahanpur,210.85,627.06,2974.0,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Shahjahanpur,210.76,686.88,3259.0,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Pilibhit,162.79,404.65,2485.72,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Pilibhit,155.15,435.51,2807.03,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Pilibhit,51.51,130.02,2524.17,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Pilibhit,135.91,380.14,2797.0,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Pilibhit,128.99,338.73,2626.02,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Pilibhit,145.07,436.66,3010.0,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Pilibhit,153.58,481.01,3132.0,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Pilibhit,140.74,461.08,3276.0,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Rampur,144.8,278.28,1921.82,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Rampur,144.99,316.84,2185.25,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Rampur,137.54,312.63,2273.01,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Rampur,136.97,306.95,2241.0,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Rampur,132.69,299.88,2260.0,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Rampur,129.98,293.74,2259.89,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Rampur,148.54,362.45,2440.0,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Rampur,138.67,328.51,2369.0,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Bijnor,59.18,132.72,2242.65,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Bijnor,57.9,138.66,2394.82,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Bijnor,16.12,44.27,2746.28,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Bijnor,52.94,123.3,2329.05,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Bijnor,54.81,143.38,2615.95,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Bijnor,51.35,133.0,2590.07,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Bijnor,53.39,134.92,2527.0,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Bijnor,50.88,127.77,2511.02,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Farrukhabad,30.14,66.79,2215.99,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Farrukhabad,31.11,81.74,2627.45,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Farrukhabad,32.56,94.73,2909.4,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Farrukhabad,37.91,107.37,2832.23,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Farrukhabad,33.91,85.57,2523.44,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Farrukhabad,41.55,96.52,2322.98,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Farrukhabad,37.59,99.89,2657.33,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Farrukhabad,34.62,108.09,3122.12,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Etawah,92.75,242.45,2614.02,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Etawah,97.45,272.9,2800.41,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Etawah,101.82,310.05,3045.08,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Etawah,111.84,345.67,3090.75,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Etawah,108.55,312.43,2878.21,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Etawah,107.19,283.25,2642.5,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Etawah,102.76,297.58,2895.75,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Etawah,101.35,295.3,2913.67,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Kanpur,73.48,169.59,2307.98,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Kanpur,74.54,200.68,2692.25,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Kanpur,71.56,194.06,2711.85,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Kanpur,75.03,198.24,2642.14,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Kanpur,67.39,161.97,2403.47,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Kanpur,69.58,172.09,2473.27,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Kanpur,77.92,238.75,3064.24,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Kanpur,73.99,221.22,2990.0,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Fatehpur,71.47,150.61,2107.32,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Fatehpur,79.78,186.54,2338.18,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Fatehpur,77.16,189.52,2456.19,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Fatehpur,86.46,225.23,2605.02,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Fatehpur,80.7,157.05,1946.1,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Fatehpur,81.95,167.75,2046.98,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Fatehpur,86.79,215.67,2485.0,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Fatehpur,82.06,216.65,2640.0,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Allahabad,189.33,427.16,2256.17,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Allahabad,191.54,483.78,2525.74,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Allahabad,195.08,527.66,2704.84,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Allahabad,210.42,533.42,2535.03,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Allahabad,192.64,407.27,2114.15,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Allahabad,192.54,366.11,1901.47,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Allahabad,211.76,565.56,2670.84,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Allahabad,215.88,575.93,2667.89,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Jhansi,8.13,15.79,1942.19,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Jhansi,14.28,26.26,1838.94,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Jhansi,11.36,21.32,1876.76,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Jhansi,12.1,21.87,1807.44,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Jhansi,10.55,18.45,1748.82,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Jhansi,10.29,17.14,1665.69,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Jhansi,11.66,15.05,1291.3,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Jhansi,10.21,16.22,1589.75,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Jalaun,0.57,1.11,1947.37,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Jalaun,0.53,0.98,1849.06,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Jalaun,0.51,0.56,1098.04,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Jalaun,0.52,0.93,1788.46,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Jalaun,0.51,0.89,1745.1,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Jalaun,1.56,2.8,1794.87,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Jalaun,0.42,0.65,1552.13,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Jalaun,0.27,0.34,1264.93,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Hamirpur,0.22,0.25,1136.36,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Hamirpur,0.14,0.19,1357.14,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Hamirpur,0.16,0.29,1812.5,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Hamirpur,0.13,0.24,1846.15,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Hamirpur,0.05,0.09,1800.0,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Hamirpur,0.09,0.1,1111.11,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Hamirpur,0.2,0.35,1778.89,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Hamirpur,0.08,0.15,1948.05,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Banda,53.92,60.55,1122.96,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Banda,64.3,90.48,1407.15,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Banda,58.32,99.95,1713.82,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Banda,66.51,120.09,1805.59,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Banda,58.56,94.68,1616.8,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Banda,57.82,66.82,1155.66,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Banda,73.75,131.0,1776.22,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Banda,60.72,118.86,1957.57,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Varanasi,184.99,454.49,2456.84,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Varanasi,179.82,458.49,2549.72,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Varanasi,174.38,465.76,2670.95,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Varanasi,187.12,472.72,2526.29,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Varanasi,174.44,467.59,2680.52,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Varanasi,187.87,504.19,2683.72,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Varanasi,196.4,526.55,2681.03,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Varanasi,194.46,573.42,2948.8,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Mirzpur,116.45,216.54,1859.51,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Mirzpur,125.91,266.41,2115.88,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Mirzpur,124.5,282.22,2266.83,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Mirzpur,111.94,253.45,2264.16,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Mirzpur,110.56,240.11,2171.76,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Mirzpur,126.61,209.26,1652.79,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Mirzpur,123.77,325.32,2628.42,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Mirzpur,123.58,321.45,2601.1,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Jaunpur,144.03,300.61,2087.13,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Jaunpur,145.19,325.06,2238.86,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Jaunpur,147.19,343.97,2336.91,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Jaunpur,149.52,342.39,2289.93,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Jaunpur,140.43,338.99,2413.94,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Jaunpur,143.9,253.26,1759.97,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Jaunpur,153.46,359.4,2342.0,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Jaunpur,157.28,362.68,2306.0,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Ghazipur,149.9,315.09,2102.0,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Ghazipur,148.84,340.25,2286.01,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Ghazipur,149.18,348.62,2336.91,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Ghazipur,148.9,318.04,2135.93,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Ghazipur,136.67,294.26,2153.07,RICE,800,25.5,Alluvial
2015,Uttar Pradesh,Ghazipur,154.41,334.3,2165.02,RICE,800,25.5,Alluvial
2016,Uttar Pradesh,Ghazipur,147.67,317.05,2147.0,RICE,800,25.5,Alluvial
2017,Uttar Pradesh,Ghazipur,154.82,384.25,2482.0,RICE,800,25.5,Alluvial
2010,Uttar Pradesh,Ballia,115.98,221.93,1913.52,RICE,800,25.5,Alluvial
2011,Uttar Pradesh,Ballia,116.37,295.63,2540.43,RICE,800,25.5,Alluvial
2012,Uttar Pradesh,Ballia,112.17,244.3,2177.94,RICE,800,25.5,Alluvial
2013,Uttar Pradesh,Ballia,118.0,261.96,2220.0,RICE,800,25.5,Alluvial
2014,Uttar Pradesh,Ballia,122.46,251.91,2057.08,RICE,800,25.5,Alluvial
